store,websites,sku,fitguide,description
"store_us,global_m_sv","app_us,global_m_web",RSRW032XS,size chart 1,"This georgette saree is adorned with applique drops, pink patterns with studs at the pallu and green, pink panels at the border. It includes a matching petticoat. It comes with a green, pink pleated blouse showcasing crystal studded straps. Hidden zip at the side.<ul><li>Color: Golden, Green, Pink</li><li>Measurement (inches): Blouse Length - 13"" , Saree Length - 214"" , Petticoat Length - 42.5""
</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW032S,size chart 1,"This georgette saree is adorned with applique drops, pink patterns with studs at the pallu and green, pink panels at the border. It includes a matching petticoat. It comes with a green, pink pleated blouse showcasing crystal studded straps. Hidden zip at the side.<ul><li>Color: Golden, Green, Pink</li><li>Measurement (inches): Blouse Length - 13"" , Saree Length - 214"" , Petticoat Length - 42.5""
</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW032M,size chart 1,"This georgette saree is adorned with applique drops, pink patterns with studs at the pallu and green, pink panels at the border. It includes a matching petticoat. It comes with a green, pink pleated blouse showcasing crystal studded straps. Hidden zip at the side.<ul><li>Color: Golden, Green, Pink</li><li>Measurement (inches): Blouse Length - 13"" , Saree Length - 214"" , Petticoat Length - 42.5""
</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW032L,size chart 1,"This georgette saree is adorned with applique drops, pink patterns with studs at the pallu and green, pink panels at the border. It includes a matching petticoat. It comes with a green, pink pleated blouse showcasing crystal studded straps. Hidden zip at the side.<ul><li>Color: Golden, Green, Pink</li><li>Measurement (inches): Blouse Length - 13"" , Saree Length - 214"" , Petticoat Length - 42.5""
</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW032XL,size chart 1,"This georgette saree is adorned with applique drops, pink patterns with studs at the pallu and green, pink panels at the border. It includes a matching petticoat. It comes with a green, pink pleated blouse showcasing crystal studded straps. Hidden zip at the side.<ul><li>Color: Golden, Green, Pink</li><li>Measurement (inches): Blouse Length - 13"" , Saree Length - 214"" , Petticoat Length - 42.5""
</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW032,size chart 1,"This georgette saree is adorned with applique drops, pink patterns with studs at the pallu and green, pink panels at the border. It includes a matching petticoat. It comes with a green, pink pleated blouse showcasing crystal studded straps. Hidden zip at the side.<ul><li>Color: Golden, Green, Pink</li><li>Measurement (inches): Blouse Length - 13"" , Saree Length - 214"" , Petticoat Length - 42.5""
</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW030XS,size chart 1,"This net saree is adorned with cutwork patterns and pink panel at the border. It includes a matching petticoat. It comes with a hot pink blouse featuring scooped neckline with crystals and sequins and sleeves with cutwork. Hidden zip at the side.<ul><li>Color: Tan, Pink</li><li>Measurement (inches): Blouse Length - 14"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW030S,size chart 1,"This net saree is adorned with cutwork patterns and pink panel at the border. It includes a matching petticoat. It comes with a hot pink blouse featuring scooped neckline with crystals and sequins and sleeves with cutwork. Hidden zip at the side.<ul><li>Color: Tan, Pink</li><li>Measurement (inches): Blouse Length - 14"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW030M,size chart 1,"This net saree is adorned with cutwork patterns and pink panel at the border. It includes a matching petticoat. It comes with a hot pink blouse featuring scooped neckline with crystals and sequins and sleeves with cutwork. Hidden zip at the side.<ul><li>Color: Tan, Pink</li><li>Measurement (inches): Blouse Length - 14"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW030L,size chart 1,"This net saree is adorned with cutwork patterns and pink panel at the border. It includes a matching petticoat. It comes with a hot pink blouse featuring scooped neckline with crystals and sequins and sleeves with cutwork. Hidden zip at the side.<ul><li>Color: Tan, Pink</li><li>Measurement (inches): Blouse Length - 14"" , Saree Length - 214"" , Petticoat Length - 42.5""</li><li>Material: Net</li><li>Wash Care: Dry Clean Only</li></ul>"
